City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,16.88,79,0,3.6,ZA,1682459870
1,magistralnyy,56.1725,107.4458,-0.59,94,99,1.03,RU,1682460226
2,rikitea,-23.1203,-134.9692,25.41,72,31,4.36,PF,1682460109
3,deputatskiy,69.3,139.9,-6.11,93,95,1.16,RU,1682460130
4,ushuaia,-54.8,-68.3,5.81,70,75,1.03,AR,1682460116
5,qaanaaq,77.484,-69.3632,-7.21,94,100,2.45,GL,1682460111
6,margate,51.3813,1.3862,6.5,74,36,0.89,GB,1682460050
7,bredasdorp,-34.5322,20.0403,14.45,85,20,1.2,ZA,1682460121
8,noumea,-22.2763,166.4572,25.0,99,100,2.47,NC,1682460014
9,stonewall,50.1344,-97.3268,9.84,38,53,2.61,CA,1682460292
10,nayoro,44.3506,142.4578,5.43,70,100,1.72,JP,1682460293
11,mataura,-46.1927,168.8643,11.38,85,100,2.77,NZ,1682460113
12,punta arenas,-53.15,-70.9167,7.84,70,40,6.69,CL,1682460294
13,ilulissat,69.2167,-51.1,1.01,93,100,2.57,GL,1682460135
14,north myrtle beach,33.816,-78.68,21.18,61,0,4.12,US,1682460296
15,colares,38.7992,-9.4469,17.72,76,0,8.05,PT,1682460298
16,dikson,73.5069,80.5464,-3.6,89,100,5.14,RU,1682460119
17,saint george,37.1041,-113.5841,22.36,17,0,4.02,US,1682460019
18,kudahuvadhoo,2.6708,72.8944,28.11,77,100,3.62,MV,1682460301
19,tongliao,43.6125,122.2653,1.02,56,0,2.0,CN,1682460302
20,butaritari,3.0707,172.7902,27.94,78,100,4.18,KI,1682460115
21,busselton,-33.65,115.3333,15.69,75,100,6.89,AU,1682460105
22,broken hill,-31.95,141.4333,18.14,50,32,5.18,AU,1682460126
23,albany,42.6001,-73.9662,11.92,50,99,1.87,US,1682459888
24,port alfred,-33.5906,26.891,20.1,97,99,3.89,ZA,1682460132
25,umba,66.6871,34.3429,-0.92,87,100,2.57,RU,1682460307
26,provideniya,64.3833,-173.3,-3.94,50,0,9.0,RU,1682460122
27,bluff,-46.6,168.3333,11.56,64,99,9.16,NZ,1682460125
28,itarema,-2.9248,-39.9167,25.87,83,72,3.71,BR,1682460160
29,araouane,18.9048,-3.5265,28.99,9,0,4.43,ML,1682460311
30,muros,42.7762,-9.0603,16.16,94,100,2.75,ES,1682460143
31,general roca,-39.0333,-67.5833,17.57,26,100,2.26,AR,1682460316
32,khatanga,71.9667,102.5,-9.33,91,98,5.36,RU,1682460129
33,hilo,19.7297,-155.09,29.6,77,11,4.47,US,1682460007
34,tasiilaq,65.6145,-37.6368,0.09,92,59,0.85,GL,1682460114
35,saskylakh,71.9167,114.0833,-11.01,96,100,4.24,RU,1682460128
36,rio branco,-9.9747,-67.81,26.34,89,20,0.0,BR,1682460322
37,mar del plata,-38.0023,-57.5575,18.94,94,100,1.54,AR,1682460140
38,christchurch,-43.5333,172.6333,12.45,75,75,2.57,NZ,1682460075
39,tuxpan,19.55,-103.4,29.75,42,98,4.4,MX,1682460325
40,puerto penasco,31.3167,-113.5333,21.62,68,0,6.26,MX,1682460041
41,tuktoyaktuk,69.4541,-133.0374,-18.0,78,75,4.12,CA,1682460114
42,nikolskoye,59.7035,30.7861,11.94,65,9,1.94,RU,1682460119
43,san patricio,28.017,-97.5169,26.05,72,86,7.1,US,1682460116
44,sinnamary,5.3833,-52.95,25.57,90,76,3.69,GF,1682460146
45,kapaa,22.0752,-159.319,27.99,68,65,2.24,US,1682460102
46,lazaro cardenas,17.9583,-102.2,28.7,57,4,6.07,MX,1682460334
47,ribeira grande,38.5167,-28.7,17.65,94,20,5.36,PT,1682460121
48,yuli,9.6989,10.2744,32.43,30,78,1.96,NG,1682460336
49,vila,42.0304,-8.1588,10.49,95,99,0.87,PT,1682460337
50,kaitangata,-46.2817,169.8464,10.52,57,74,5.64,NZ,1682460133
51,ankang,32.68,109.0172,10.29,84,59,0.27,CN,1682460338
52,harstad,68.799,16.5293,1.66,72,98,7.15,NO,1682460339
53,baringo,0.4667,35.9667,18.22,93,100,0.84,KE,1682460339
54,bengkulu,-3.8004,102.2655,24.38,92,99,1.21,ID,1682460122
55,malanje,-9.5402,16.341,18.51,95,99,1.24,AO,1682460166
56,nishihara,26.1842,127.7558,20.6,83,75,7.72,JP,1682460201
57,georgetown,5.4112,100.3354,26.96,94,20,1.03,MY,1682460049
58,luwuk,-0.9516,122.7875,25.62,88,86,0.65,ID,1682460237
59,new norfolk,-42.7826,147.0587,12.06,72,0,1.36,AU,1682460116
60,arraial do cabo,-22.9661,-42.0278,23.92,88,20,4.12,BR,1682460115
61,arlit,18.7369,7.3853,30.71,8,0,4.52,NE,1682460170
62,suhbaatar,50.2314,106.2078,4.54,57,96,8.34,MN,1682460347
63,avarua,-21.2078,-159.775,28.03,69,90,3.09,CK,1682460121
64,majene,-3.5403,118.9707,25.16,89,92,1.62,ID,1682460348
65,turukhansk,65.8167,87.9833,-1.87,98,100,4.28,RU,1682460121
66,rawson,-43.3002,-65.1023,15.13,69,100,4.91,AR,1682459947
67,ust-koksa,50.2696,85.6108,-0.94,85,94,0.98,RU,1682460174
68,surin,14.8818,103.4936,26.35,71,99,4.62,TH,1682460354
69,guarda,40.5373,-7.2658,10.52,83,31,1.54,PT,1682460355
70,constitucion,-35.3333,-72.4167,14.27,72,100,4.58,CL,1682460177
71,torbay,47.6666,-52.7314,1.88,96,100,8.49,CA,1682460156
72,cuamba,-14.8031,36.5372,16.69,96,5,1.11,MZ,1682460357
73,puerto ayora,-0.7393,-90.3518,28.98,88,31,2.68,EC,1682460104
74,baoding,38.8511,115.4903,6.82,22,2,1.18,CN,1682460359
75,pisco,-13.7,-76.2167,25.03,69,0,5.14,PE,1682460162
76,kupang,-10.1667,123.5833,25.32,100,75,1.03,ID,1682460205
77,tukrah,32.5341,20.5791,17.41,51,3,1.73,LY,1682460361
78,fortuna,40.5982,-124.1573,18.29,68,8,1.34,US,1682460127
79,george,-33.963,22.4617,16.75,77,75,3.09,ZA,1682460363
80,yumen,40.2833,97.2,8.38,44,85,3.27,CN,1682460172
81,los llanos de aridane,28.6585,-17.9182,18.86,91,20,4.12,ES,1682460159
82,skjervoy,70.0311,20.9714,-3.0,61,72,5.51,NO,1682460150
83,grand gaube,-20.0064,57.6608,24.22,85,46,3.02,MU,1682460035
84,lodja,-3.4833,23.4333,22.3,92,91,0.46,CD,1682460165
85,miri,4.4148,114.0089,25.08,94,40,1.03,MY,1682460368
86,naze,28.3667,129.4833,16.51,86,100,6.28,JP,1682460153
87,atuona,-9.8,-139.0333,27.43,77,15,7.48,PF,1682460114
88,akureyri,65.6835,-18.0878,-0.04,64,100,3.6,IS,1682460370
89,sao felix do xingu,-6.6447,-51.995,24.28,86,100,1.14,BR,1682460372
90,adrar,20.5022,-10.0711,31.03,11,0,3.68,MR,1682460107
91,bathsheba,13.2167,-59.5167,24.34,94,75,2.57,BB,1682460125
92,sterling,39.0062,-77.4286,15.99,39,75,3.13,US,1682460200
93,college,64.8569,-147.8028,2.11,48,41,0.89,US,1682460182
94,zhezkazgan,47.8043,67.7144,11.7,42,0,3.9,KZ,1682460377
95,marienburg,54.0359,19.0266,7.16,74,100,3.39,PL,1682460378
96,hobart,-42.8794,147.3294,12.25,74,0,2.06,AU,1682460018
97,vila franca do campo,37.7167,-25.4333,17.23,95,71,2.51,PT,1682460133
98,puerto colombia,10.9878,-74.9547,30.05,73,28,7.29,CO,1682460380
99,tabuk,17.4189,121.4443,23.41,90,78,1.16,PH,1682460381
100,wajid,3.8093,43.2471,22.01,90,100,5.84,SO,1682460382
101,esperance,-33.8667,121.9,14.93,69,18,11.62,AU,1682460115
102,hokitika,-42.7167,170.9667,12.96,69,87,5.17,NZ,1682460384
103,severo-kurilsk,50.6789,156.125,1.33,81,28,6.51,RU,1682460126
104,roald,62.5833,6.1333,2.73,93,75,3.6,NO,1682460157
105,aquiraz,-3.9014,-38.3911,29.05,79,97,3.39,BR,1682460107
106,newport,51.5877,-2.9984,8.4,73,100,2.22,GB,1682460388
107,lorengau,-2.0226,147.2712,29.04,74,54,3.49,PG,1682460129
108,westport,41.1415,-73.3579,14.94,50,75,4.63,US,1682459914
109,kawalu,-7.3817,108.2082,22.31,96,78,0.74,ID,1682460391
110,tarsus,36.9188,34.8784,14.93,82,85,1.36,TR,1682460392
111,poltava,49.5937,34.5407,10.82,80,73,3.21,UA,1682460393
112,begunitsy,59.5855,29.3176,9.23,71,35,2.67,RU,1682460394
113,abu zabad,12.35,29.25,30.44,37,67,3.04,SD,1682460395
114,ballina,-28.8667,153.5667,17.1,66,91,5.85,AU,1682460232
115,vao,-22.6667,167.4833,24.09,83,100,8.45,NC,1682460152
116,grindavik,63.8424,-22.4338,3.97,93,75,3.09,IS,1682460154
117,lebu,-37.6167,-73.65,14.04,80,100,2.46,CL,1682460108
118,yellowknife,62.456,-114.3525,6.29,52,75,5.14,CA,1682460055
119,husavik,66.0449,-17.3389,-1.73,67,83,2.0,IS,1682460167
120,hastings,50.8552,0.5729,6.86,41,85,4.95,GB,1682460400
121,hofn,64.2539,-15.2082,-0.08,66,98,0.9,IS,1682460143
122,aksu,41.1231,80.2644,15.16,24,98,0.55,CN,1682460102
123,ust-kuyga,70.0167,135.6,-10.2,98,98,1.31,RU,1682460402
124,port elizabeth,-33.918,25.5701,19.62,95,100,2.06,ZA,1682460125
125,padang,-0.9492,100.3543,25.03,88,100,1.97,ID,1682460180
126,kyrksaeterora,63.2906,9.0891,0.96,98,100,1.07,NO,1682460405
127,camacha,33.0833,-16.3333,16.68,82,20,1.03,PT,1682460140
128,longyearbyen,78.2186,15.6401,-9.37,76,47,1.63,SJ,1682460150
129,yerbogachen,61.2767,108.0108,-9.35,98,91,1.44,RU,1682460409
130,hithadhoo,-0.6,73.0833,28.76,75,100,5.94,MV,1682460120
131,slave lake,55.2834,-114.769,6.99,45,100,6.69,CA,1682460228
132,sept-iles,50.2001,-66.3821,8.29,65,75,4.12,CA,1682459970
133,buraydah,26.326,43.975,20.25,61,20,5.28,SA,1682460180
134,shimoda,34.6667,138.95,13.95,90,100,5.96,JP,1682460413
135,jamestown,42.097,-79.2353,8.07,67,75,4.63,US,1682460116
136,kommunisticheskiy,61.6789,64.4819,0.46,99,100,1.35,RU,1682460417
137,masyaf,35.0653,36.3406,10.88,77,0,1.82,SY,1682460417
138,pangnirtung,66.1451,-65.7125,1.07,93,95,1.61,CA,1682460419
139,bethel,41.3712,-73.414,13.74,48,92,2.2,US,1682460117
140,sarkand,45.41,79.9186,5.87,59,3,2.57,KZ,1682460423
141,sampang,-7.1872,113.2394,26.29,86,65,2.4,ID,1682460424
142,ponta do sol,32.6667,-17.1,20.4,59,54,2.23,PT,1682460137
143,santa isabel,-23.3156,-46.2214,23.61,85,60,0.37,BR,1682460164
144,phan thiet,10.9333,108.1,24.39,89,100,2.85,VN,1682460427
145,katsuura,35.1333,140.3,17.78,86,100,8.38,JP,1682460182
146,providencia,28.7167,-111.5833,30.23,39,0,8.24,MX,1682460428
147,harper,4.375,-7.7169,27.01,85,100,3.56,LR,1682460164
